    711    12   257     datakind beginning-row linenumbers
 ----------------------------------------------------------------
                     David A. Shirley's group
               Pennsylvania State University (PSU)
           Lawrence Berkeley National Laboratory (LBNL)
      Copyright (c) 1995-1996 DAS group. All rights reserved
 ----------------------------------------------------------------

        Ag              Silver phase shift data

         k   p(l=0)   p(l=1)   p(l=2)   p(l=3)   p(l=4)   p(l=5)   p(l=6)   p(l=7)  p(l=08)  p(l=09)  p(l=10)  p(l=11)  p(l=12)  p(l=13)  p(l=14)  p(l=15)  p(l=16)  p(l=17)  p(l=18)  p(l=19)
        20              lnum
    9.7000   2.7497   0.8529  -1.2767   2.9113   1.6382   1.0220   0.6671   0.4916   0.3525   0.2605   0.2203   0.1722   0.1044   0.0478   0.0172   0.0051   0.0013   0.0003   0.0000   0.0000
    9.7500   2.7369   0.8415  -1.2846   2.9106   1.6432   1.0273   0.6706   0.4939   0.3564   0.2617   0.2208   0.1750   0.1082   0.0506   0.0186   0.0056   0.0014   0.0003   0.0001   0.0000
    9.8000   2.7242   0.8303  -1.2924   2.9100   1.6484   1.0324   0.6743   0.4960   0.3602   0.2630   0.2211   0.1775   0.1121   0.0534   0.0200   0.0061   0.0016   0.0003   0.0001   0.0000
    9.8500   2.7116   0.8193  -1.2999   2.9095   1.6536   1.0373   0.6782   0.4979   0.3640   0.2645   0.2214   0.1799   0.1159   0.0564   0.0215   0.0067   0.0017   0.0004   0.0001   0.0000
    9.9000   2.6991   0.8084  -1.3073   2.9091   1.6590   1.0419   0.6823   0.4998   0.3678   0.2662   0.2217   0.1820   0.1196   0.0594   0.0230   0.0073   0.0019   0.0004   0.0001   0.0000
    9.9500   2.6867   0.7976  -1.3145   2.9089   1.6644   1.0462   0.6865   0.5015   0.3715   0.2680   0.2219   0.1840   0.1233   0.0625   0.0247   0.0079   0.0021   0.0005   0.0001   0.0000
   10.0000   2.6744   0.7870  -1.3216   2.9088   1.6699   1.0504   0.6909   0.5031   0.3751   0.2700   0.2221   0.1858   0.1270   0.0657   0.0264   0.0086   0.0023   0.0005   0.0001   0.0000
   10.0500   2.6621   0.7764  -1.3285   2.9088   1.6754   1.0544   0.6954   0.5047   0.3786   0.2721   0.2222   0.1875   0.1305   0.0690   0.0282   0.0093   0.0026   0.0006   0.0001   0.0000
   10.1000   2.6498   0.7659  -1.3352   2.9090   1.6810   1.0581   0.7001   0.5063   0.3820   0.2745   0.2224   0.1889   0.1339   0.0722   0.0301   0.0101   0.0028   0.0007   0.0001   0.0000
   10.1500   2.6375   0.7555  -1.3418   2.9093   1.6865   1.0617   0.7048   0.5078   0.3852   0.2769   0.2227   0.1902   0.1373   0.0756   0.0321   0.0110   0.0031   0.0008   0.0002   0.0000
   10.2000   2.6252   0.7452  -1.3483   2.9097   1.6919   1.0652   0.7096   0.5093   0.3883   0.2795   0.2229   0.1914   0.1405   0.0790   0.0342   0.0119   0.0034   0.0008   0.0002   0.0000
   10.2500   2.6130   0.7348  -1.3546   2.9103   1.6973   1.0685   0.7145   0.5109   0.3912   0.2822   0.2232   0.1923   0.1436   0.0824   0.0363   0.0128   0.0038   0.0009   0.0002   0.0000
   10.3000   2.6007   0.7245  -1.3609   2.9110   1.7026   1.0718   0.7194   0.5125   0.3939   0.2851   0.2236   0.1932   0.1466   0.0858   0.0386   0.0139   0.0041   0.0010   0.0002   0.0000
   10.3500   2.5884   0.7142  -1.3671   2.9118   1.7078   1.0749   0.7243   0.5142   0.3965   0.2880   0.2241   0.1939   0.1494   0.0892   0.0409   0.0149   0.0045   0.0012   0.0003   0.0000
   10.4000   2.5760   0.7039  -1.3732   2.9127   1.7128   1.0781   0.7292   0.5160   0.3989   0.2911   0.2247   0.1945   0.1521   0.0927   0.0433   0.0161   0.0049   0.0013   0.0003   0.0001
   10.4500   2.5636   0.6936  -1.3792   2.9137   1.7177   1.0812   0.7340   0.5179   0.4012   0.2941   0.2254   0.1950   0.1546   0.0961   0.0457   0.0173   0.0054   0.0014   0.0003   0.0001
   10.5000   2.5511   0.6832  -1.3853   2.9147   1.7223   1.0843   0.7388   0.5199   0.4033   0.2973   0.2262   0.1953   0.1570   0.0995   0.0483   0.0186   0.0059   0.0016   0.0004   0.0001
   10.5500   2.5386   0.6728  -1.3913   2.9157   1.7268   1.0874   0.7435   0.5220   0.4052   0.3005   0.2271   0.1956   0.1592   0.1029   0.0509   0.0199   0.0064   0.0017   0.0004   0.0001
   10.6000   2.5261   0.6623  -1.3973   2.9167   1.7310   1.0905   0.7480   0.5243   0.4069   0.3037   0.2282   0.1959   0.1613   0.1062   0.0536   0.0213   0.0070   0.0019   0.0005   0.0001
   10.6500   2.5135   0.6519  -1.4032   2.9180   1.7352   1.0938   0.7526   0.5268   0.4086   0.3071   0.2295   0.1960   0.1634   0.1099   0.0567   0.0230   0.0076   0.0021   0.0005   0.0001
   10.7000   2.5008   0.6413  -1.4092   2.9190   1.7389   1.0972   0.7569   0.5294   0.4101   0.3102   0.2308   0.1962   0.1651   0.1131   0.0595   0.0246   0.0083   0.0024   0.0006   0.0001
   10.7500   2.4881   0.6307  -1.4154   2.9199   1.7425   1.1006   0.7610   0.5321   0.4115   0.3133   0.2323   0.1963   0.1667   0.1163   0.0624   0.0262   0.0090   0.0026   0.0006   0.0001
